Station,Deployment,Samples
100,1,18
100,2,18
100,3,17
100,4,18
100,5,23
100,6,8
100,7,21
100,8,14
100,9,7
100,10,19
100,11,27
100,12,7
100,13,0
100,14,17
100,15,42
100,16,18
100,17,20
100,18,29
101,1,16
101,2,7
101,3,13
101,4,5
102,1,42
102,2,6
102,3,39
103,1,1
103,2,7
104,1,0
105,1,1
106,1,22
106,2,12
106,3,1
106,4,17
106,5,2
106,6,21
106,7,17
106,8,30
106,9,23
106,10,35
106,11,21
106,12,4
106,13,25
106,14,12
106,15,2
106,16,29
106,17,23
106,18,29
106,19,0
106,20,6
106,21,12
106,22,6
106,23,14
106,24,20
106,25,2
107,1,28
107,2,11
107,3,16
107,4,14
107,5,30
107,6,34
107,7,10
107,8,40
107,9,6
107,10,37
107,11,60
109,1,3
109,2,1
109,3,2
109,4,1
109,5,9
109,6,2
111,1,15
111,2,19
111,3,21
111,4,6
111,5,11
111,6,2
111,7,8
111,8,19
111,9,23
111,10,15
111,11,21
111,12,24
111,13,33
111,14,12
113,1,5
113,2,12
114,1,3
114,2,1
114,3,7
114,4,3
115,1,9
115,2,29
116,1,2
116,2,8
117,1,4
118,1,29
121,1,25
121,2,26
121,3,21
121,4,59
121,5,56
121,6,31
121,7,46
121,8,5
121,9,6
121,10,30
121,11,19
121,12,44
121,13,32
121,14,55
121,15,40
121,16,35
122,1,18
123,1,4
124,1,21
125,1,11
126,1,9
126,2,4
126,3,0
128,1,31
128,2,34
128,3,6
128,4,43
128,5,16
128,6,37
128,7,32
129,1,0
129,2,0
130,1,47
131,1,21
133,1,8
134,1,16
134,2,27
134,3,5
134,4,15
134,5,35
134,6,5
134,7,30
134,8,29
134,9,30
134,10,32
134,11,4
134,12,31
134,13,20
134,14,24
134,15,36
134,16,1
134,17,4
134,18,19
134,19,0
134,20,6
134,21,9
134,22,3
134,23,6
135,1,2
136,1,6
138,6,40
139,1,10
139,2,32
139,3,28
139,4,57
139,5,10
139,6,25
139,7,36
139,8,31
139,9,34
139,10,2
139,11,10
139,12,43
139,13,45
139,14,27
139,15,44
141,2,46
141,3,1
141,4,11
142,1,6
142,2,24
142,3,8
142,4,5
142,5,8
142,6,7
142,7,2
142,8,7
142,9,4
142,10,1
142,11,4
142,12,2
142,13,5
142,14,19
142,15,17
142,16,3
142,17,5
142,18,15
142,19,29
142,20,0
142,21,0
142,22,22
142,23,11
142,24,10
142,25,3
142,26,18
144,1,67
144,2,19
144,3,72
144,4,107
144,5,103
144,6,79
144,7,88
144,8,41
144,9,70
144,10,44
144,11,3
144,12,59
144,13,104
144,14,18
144,15,59
144,16,127
146,1,4
146,2,5
146,3,4
146,4,2
146,5,5
146,6,9
146,7,2
146,8,2
146,9,4
146,10,1
146,11,1
146,12,3
146,13,7
147,1,1
147,2,23
147,3,6
147,4,5
147,5,1
147,6,23
147,7,4
147,8,0
147,9,26
147,10,31
147,11,39
147,12,27
147,13,30
147,14,3
147,15,39
147,16,25
147,17,40
148,1,3
149,1,3
151,1,3
152,1,0
152,2,1
153,1,11
153,2,1
153,3,1
155,1,16
155,2,1
155,3,16
155,4,15
155,5,8
155,6,28
155,7,2
155,8,8
155,9,10
155,10,1
155,11,12
156,1,1
156,2,33
156,3,37
156,4,36
156,5,33
156,6,1
156,7,23
156,8,5
156,9,18
156,10,20
157,1,27
157,2,21
157,3,18
157,4,25
157,5,25
157,6,27
157,7,22
157,8,26
157,9,2
157,10,22
157,11,60
158,1,15
158,2,42
158,3,55
158,4,5
158,5,51
158,6,44
158,7,47
158,8,57
158,9,57
158,10,18
158,11,37
158,12,41
161,1,10
161,2,7
161,3,9
162,1,37
