Station,Deployment,Start date,End date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,1,02-09-06 15:00,04-21-06 18:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,2,05-07-06 18:00,05-21-08 11:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,3,05-21-08 14:00,07-03-08 12:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,4,07-03-08 17:00,01-03-10 23:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,5,01-07-10 21:00,10-23-10 14:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,6,11-17-10 19:00,02-17-11 14:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,7,02-27-11 21:00,03-04-11 00:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,8,03-19-11 17:00,08-01-11 14:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,9,08-04-11 22:00,09-08-12 13:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,10,09-08-12 16:00,12-17-13 14:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,11,12-17-13 18:00,01-29-15 16:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,12,01-29-15 19:00,05-26-16 15:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,13,05-26-16 18:00,10-16-16 20:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,14,11-15-16 19:00,02-06-18 14:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,15,02-06-18 17:00,04-10-19 18:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,16,04-10-19 20:00,07-07-20 07:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,1,08-18-06 16:00,08-25-06 20:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,2,09-07-06 23:00,02-15-08 16:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,3,02-15-08 22:00,05-15-10 08:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,4,06-07-10 18:00,06-12-10 19:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,5,06-17-10 00:00,10-21-10 10:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,6,10-21-10 15:00,10-31-10 08:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,7,11-19-10 19:00,11-28-10 19:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,8,03-30-11 18:00,04-24-12 14:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,9,05-04-12 14:00,12-19-12 13:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
